year,plot_id,treatment,fence,availNH4_ppm,availP_ppm,soilC_ppm,totalN_ppm,totalP_ppm
2011,s1_1,burn,fenced,7.9,21.7,31210.62,2063.995649,592.8208847
2011,s1_2,sugar,fenced,4.27,12.1,33722.41,2340.078329,624.1840731
2011,s1_3,crop,fenced,4.56,8.7,23553.24,2072.304713,619.7546804
2011,s1_4,control,fenced,5.12,9.7,26637.77,2287.28857,620.835469
2011,s1_5,slash,fenced,3.7,11,24070.54,1970.57278,593.1424067
2011,s1_6,sugar,open,5.61,8.3,41390.96,2668.294384,638.2978723
2011,s1_7,crop,open,4.33,13.3,40539.17,2142.857143,626.899696
2011,s1_8,control,open,4.94,13.4,29392.52,2283.281734,603.7151703
2011,s1_9,slash,open,5.07,10.3,27736.73,2244.389027,579.8004988
2011,s1_10,burn,open,6.5,12.3,44414.44,2536.231884,551.1060259
2011,s2_1,slash,fenced,1.54,3.7,13814.62,745.5336693,343.5639029
2011,s2_2,sugar,fenced,2.51,4.6,19370.36,802.1117166,357.6294278
2011,s2_3,crop,fenced,1.97,3.8,15403.8,977.6638594,417.429513
2011,s2_4,burn,fenced,3.83,3.5,17873.36,890.7318308,366.5484933
2011,s2_5,control,fenced,4.78,3.8,15832.81,1008.07502,441.5212295
2011,s2_6,crop,open,2.02,1.6,17879.14,1354.748603,407.0231445
2011,s2_7,burn,open,2.78,4.3,20163.5,697.6268412,313.0114566
2011,s2_8,control,open,2.13,4.4,23847.3,1219.806763,390.4991948
2011,s2_9,slash,open,2.41,3.5,14164.7,1021.188566,398.6960883
2011,s2_10,sugar,open,2.63,4.7,16322.87,675.4460493,341.971113
2011,s3_1,crop,fenced,6.22,2,21701.36,1128.286271,259.2502434
2011,s3_2,slash,fenced,8.35,3.8,18838.44,921.5212414,232.7651997
2011,s3_3,burn,fenced,7.46,4.6,20212.67,1214.755639,298.4022556
2011,s3_4,control,fenced,2.99,1.7,17936.09,1135.72523,287.2829418
2011,s3_5,sugar,fenced,15.51,4.3,22262.75,1679.954442,339.7873956
2011,s3_6,sugar,open,4.88,2.2,22888.44,891.014975,316.9717138
2011,s3_7,slash,open,8.76,3.7,12880.73,1272.342427,329.2568203
2011,s3_8,crop,open,9.86,4,18134.85,889.0977444,263.1578947
2011,s3_9,control,open,9.43,4.6,22188.73,1480.208906,317.482133
2011,s3_10,burn,open,8.25,4,19284.08,1169.676971,325.6339007
2011,s4_1,sugar,fenced,3.37,9.3,21558.84,1488.387097,493.5483871
2011,s4_2,control,fenced,3.47,6.9,22373.97,1104.951959,376.940133
2011,s4_3,slash,fenced,2.52,5.1,15418.66,911.1890694,479.1358936
2011,s4_4,burn,fenced,3.13,6.5,14885.4,947.8984238,383.0998249
2011,s4_5,crop,fenced,2.17,6.3,13447.45,741.0098075,446.7853251
2011,s4_6,crop,open,2.81,4.8,17618.1,1127.123006,441.9711786
2011,s4_7,control,open,5.98,5.7,23100.72,1526.060809,415.9705981
2011,s4_8,burn,open,2.54,4.5,12578.11,1037.311619,350.0243072
2011,s4_9,sugar,open,2.96,7.6,17971,792.1152168,366.598778
2011,s4_10,slash,open,3.29,7.7,17878.76,1219.147345,364.6222887
2011,s5_1,slash,fenced,6.03,2,16052.24,940.8474173,296.35801
2011,s5_2,control,fenced,1.78,3.8,14135.88,1022.647266,325.6277869
2011,s5_3,sugar,fenced,2.11,2.3,11749.71,696.5622401,295.2592182
2011,s5_4,crop,fenced,6.3,4.3,12967.42,613.0938027,245.9609356
2011,s5_5,burn,fenced,3.73,2,14639.92,590.7852366,243.3737924
2011,s5_6,burn,open,2.94,2.3,14584.79,876.0207869,361.9153675
2011,s5_7,slash,open,5.36,4.3,12367.37,720.2544275,280.6186081
2011,s5_8,control,open,3.66,2.1,11021.44,615.1419558,309.9369085
2011,s5_9,crop,open,5.29,3.7,5392.88,219.019807,199.9746064
2011,s5_10,sugar,open,2.11,1.8,9953.32,905.0064185,301.6688062
2011,w1_1,control,fenced,5.31,5.5,36970.56,1802.840562,483.3536958
2011,w1_2,crop,fenced,3.22,9.1,30700.27,1934.097421,551.5759312
2011,w1_3,sugar,fenced,6.33,7.4,36507.2,2346.975733,608.4751901
2011,w1_4,slash,fenced,5.62,7.5,35190.4,2420.077682,564.6847924
2011,w1_5,burn,fenced,3.81,4.6,24998.37,1843.971631,402.4822695
2011,w1_6,burn,open,4.14,4.3,29867.74,1709.629314,450.5752024
2011,w1_7,control,open,3.79,6.3,25560.07,1470.970026,438.9898513
2011,w1_8,slash,open,5.62,12.4,34196.36,2068.264014,500.1130199
2011,w1_9,crop,open,4.49,9.4,28948.93,1327.484631,582.0952869
2011,w1_10,sugar,open,4.98,14,22570.15,1329.479769,399.8073218
2011,w2_1,slash,fenced,5.31,8.8,32376.89,1528.262387,431.786462
2011,w2_2,burn,fenced,4.76,7.5,22781.96,1284.318288,366.4495114
2011,w2_3,control,fenced,4.69,9.2,31658.72,1311.752988,457.1713147
2011,w2_4,sugar,fenced,3.62,7,26411.56,1714.727085,395.4685891
2011,w2_5,crop,fenced,3.39,7.4,27538.47,1416.853095,428.7844892
2011,w2_6,crop,open,4.04,8.2,23701.82,1720.828295,392.2309553
2011,w2_7,slash,open,4.66,10,15944.65,1451.533541,526.4884369
2011,w2_8,sugar,open,17.31,14.6,29384.09,1772.650535,491.6994935
2011,w2_9,control,open,18.98,13.7,30970.47,1925.44843,580.1569507
2011,w2_10,burn,open,5.17,6.1,24206.61,1471.530688,447.3749076
2011,w3_1,sugar,fenced,3.85,4.1,28847.95,2034.846029,401.1345219
2011,w3_2,slash,fenced,5.38,5.2,40150.93,1942.610462,378.9994921
2011,w3_3,burn,fenced,3.99,4.5,22615.9,1406.131718,348.2210447
2011,w3_4,control,fenced,3.76,4.1,24939.08,1145.574855,347.3945409
2011,w3_5,crop,fenced,6.11,4.8,24340.99,2167.438782,428.5241562
2011,w3_6,burn,open,5.23,2.3,21961.32,1628.886779,380.9636838
2011,w3_7,slash,open,5.89,4.3,27692.98,1420.964126,378.3632287
2011,w3_8,sugar,open,5.44,4.1,28996.2,1390.75067,350.2010724
2011,w3_9,crop,open,5.62,4.4,26995.89,2117.126606,440.8047188
2011,w3_10,control,open,4.54,3.8,18409.07,1443.193449,412.6151484
2011,w4_1,sugar,fenced,5.38,8.3,18213.12,1079.3222,508.3497053
2011,w4_2,control,fenced,6.54,8.8,18110.33,1185.097354,494.2586121
2011,w4_3,slash,fenced,6.15,7.2,18991.41,1592.352797,577.2049841
2011,w4_4,crop,fenced,10.09,6.5,30466.42,1860.888108,594.5810336
2011,w4_5,burn,fenced,4.56,9.1,19555.92,1209.94706,526.6090833
2011,w4_6,crop,open,36.2,8.7,18655.63,1093.189964,510.7526882
2011,w4_7,sugar,open,6.15,9.8,23092.72,1872.67658,715.6133829
2011,w4_8,slash,open,5.09,9.6,17282.19,1659.043659,735.966736
2011,w4_9,control,open,6.75,7.5,22005.62,1753.343239,520.0594354
2011,w4_10,burn,open,3.83,9.1,22021.36,1191.141261,462.8890662
2011,w5_1,slash,fenced,4.51,8.2,16472.56,1344.339623,600
2011,w5_2,control,fenced,6.1,5.3,22252.91,1279.472954,460.2981969
2011,w5_3,crop,fenced,3.35,8.3,14827.36,1073.798989,514.380531
2011,w5_4,sugar,fenced,3,8.8,12241.57,843.1734317,415.1291513
2011,w5_5,burn,fenced,5.55,8.2,21128.85,1388.8299,399.7664048
2011,w5_6,crop,open,10.68,6.5,17917,1537.396122,551.4983631
2011,w5_7,burn,open,4.86,4.3,20712.54,837.5089477,357.9098067
2011,w5_8,sugar,open,4.75,4.6,17134.69,1264.329063,518.3749157
2011,w5_9,slash,open,6.96,4.5,25488.57,1921.733054,524.1090147
2011,w5_10,control,open,6.75,5.5,14613.85,1330.736366,469.3390299
