species,trait,mean,max
Acaena.agnipila,Leaf.length,1.6,1.6
Acaena.agnipila,Leaf.width,10,10
Acaena.agnipila,Max.height,0.5866666666666667,0.636
Acaena.agnipila,Vegetative.height,0.26,0.276
Acaena.agnipila,Vegetative.width,0.19,0.238
Acetosella.vulgaris,Leaf.length,7,7
Acetosella.vulgaris,Leaf.width,30,30
Acetosella.vulgaris,Max.height,0.45856410256410257,0.58
Acetosella.vulgaris,SLA,15.998986072095239,20.11822785
Acetosella.vulgaris,Vegetative.height,0.3293421052631579,0.40900000000000014
Acetosella.vulgaris,Vegetative.width,0.055645161290322584,0.09
Aira.sp,Leaf.length,0.5,0.5
Aira.sp,Leaf.width,0.4666666666666667,0.4666666666666667
Aira.sp,Max.height,0.24739583333333331,0.38025
Aira.sp,SLA,21.08,31.060000000000002
Aira.sp,Vegetative.height,0.17076923076923078,0.22200000000000003
Aira.sp,Vegetative.width,0.0054,0.010999999999999996
Alternanthera.pungens,Leaf.length,5,5
Alternanthera.pungens,Leaf.width,10,10
Anagallis.arvensis,Leaf.length,2.5,2.5
Anagallis.arvensis,Max.height,0.15384615384615385,0.2800000000000001
Anagallis.arvensis,SLA,29.32,39.04
Anthosachne.scabra,Leaf.width,5,5
Anthosachne.scabra,Max.height,1.5,1.5
Aphanes.australiana,Leaf.length,1,1
Aphanes.australiana,Max.height,0.1,0.1
Arctotheca.calendula,Leaf.length,25,25
Arctotheca.calendula,Leaf.width,60,60
Arctotheca.calendula,Max.height,0.3,0.3
Arenaria.leptoclados,Leaf.length,0.8,0.8
Arenaria.leptoclados,Leaf.width,2.5,2.5
Arenaria.leptoclados,Max.height,0.125,0.185
Aristida.ramosa,Leaf.width,3,3
Aristida.ramosa,Max.height,1.2,1.2
Austrostipa.bigeniculata,Leaf.width,3,3
Austrostipa.bigeniculata,Max.height,0.7152884615384616,1.149
Austrostipa.bigeniculata,SLA,6.091525120055556,8.4073259015
Austrostipa.bigeniculata,Vegetative.height,0.30333333333333334,0.47
Austrostipa.bigeniculata,Vegetative.width,0.23102564102564102,0.3580000000000001
Austrostipa.scabra,Leaf.width,2,2
Austrostipa.scabra,Max.height,0.5231428571428571,0.8220000000000001
Austrostipa.scabra,SLA,6.0299855226,7.4153075396000006
Austrostipa.scabra,Vegetative.height,0.3070588235294118,0.4734999999999999
Austrostipa.scabra,Vegetative.width,0.1941304347826087,0.308
Avena.fatua,Max.height,1.4228048780487805,1.7
Avena.fatua,Vegetative.height,0.756625,0.9620000000000001
Avena.fatua,Vegetative.width,0.08925,0.24300000000000005
Bothriochloa.macra,Leaf.width,5.5,5.5
Bothriochloa.macra,Max.height,0.30344736842105263,0.5660000000000001
Bothriochloa.macra,SLA,15.5644614302,17.594395605
Bothriochloa.macra,Vegetative.height,0.11151351351351352,0.19
Bothriochloa.macra,Vegetative.width,0.23791666666666667,0.39499999999999996
Brachyscome.rigidula,Leaf.length,1.8,1.8
Brachyscome.rigidula,Max.height,0.36,0.36
Briza.minor,Leaf.width,10,10
Briza.minor,Max.height,0.4375,0.585
Bromus.catharticus,Leaf.length,30,30
Bromus.catharticus,Leaf.width,8,8
Bromus.catharticus,Max.height,0.74288,1
Bromus.diandrus,Leaf.width,10,10
Bromus.diandrus,Max.height,0.7430292056,1
Bromus.diandrus,SLA,31.5482583,31.5482583
Bromus.diandrus,Vegetative.height,0.652421875,0.8240000000000001
Bromus.diandrus,Vegetative.width,0.06028125,0.1
Bromus.hordeaceus,Leaf.width,7,7
Bromus.hordeaceus,Max.height,0.46542641509433963,0.7890000000000003
Bromus.hordeaceus,SLA,28.000300752105264,34.67400000000001
Bromus.hordeaceus,Vegetative.height,0.3491818181818182,0.526
Bromus.hordeaceus,Vegetative.width,0.01196,0.03
Bromus.rubens,Leaf.width,5,5
Bromus.rubens,Max.height,0.37544571428571427,0.494
Bromus.rubens,Vegetative.height,0.24727272727272728,0.31
Bromus.rubens,Vegetative.width,0.0037272727272727275,0.005
Bulbine.bulbosa,Max.height,0.4,0.4
Bulbine.bulbosa,SLA,33.38,33.38
Carduus.nutans,Max.height,0.7666666666666667,1.18
Carduus.nutans,SLA,17.05,19.099999999999998
Carex.inversa,Leaf.width,2,2
Carex.inversa,Max.height,0.43285714285714283,0.54
Carex.inversa,SLA,7.892276777666667,8.502325664
Carex.inversa,Vegetative.height,0.38083333333333336,0.445
Carex.inversa,Vegetative.width,0.23666666666666666,0.515
Carthamus.lanatus,Leaf.length,6,6
Carthamus.lanatus,Max.height,0.65,0.95
Carthamus.lanatus,SLA,7.74,7.74
Centaurium.erythraea,Leaf.length,4,4
Centaurium.erythraea,Leaf.width,20,20
Centaurium.erythraea,Max.height,0.21583333333333335,0.5
Centaurium.erythraea,SLA,22.988333333333333,29.02
Cerastium.glomeratum,Leaf.length,2.5,2.5
Cerastium.glomeratum,Leaf.width,9,9
Cerastium.glomeratum,Max.height,0.24864705882352942,0.4302
Cerastium.glomeratum,SLA,21.0825,26.935000000000002
Cheilanthes.austrotenuifolia,Max.height,0.3,0.3
Chloris.truncata,Leaf.width,5,5
Chloris.truncata,Max.height,0.475,0.495
Chloris.truncata,SLA,11.55,11.55
Chondrilla.juncea,Leaf.length,20,20
Chondrilla.juncea,Leaf.width,50,50
Chondrilla.juncea,Max.height,0.588,0.97
Chondrilla.juncea,SLA,12.207536374551724,16.355074562
Chondrilla.juncea,Vegetative.height,0.51295,0.7120000000000001
Chondrilla.juncea,Vegetative.width,0.23911764705882352,0.367
Cicendia.quadrangularis,Leaf.length,0.5,0.5
Cicendia.quadrangularis,Leaf.width,3,3
Cicendia.quadrangularis,Max.height,0.08,0.08
Cirsium.vulgare,Leaf.length,30,30
Cirsium.vulgare,Max.height,1.2166666666666666,1.98
Cirsium.vulgare,SLA,15.387060506941177,18.74
Convolvulus.erubescens,Leaf.length,5.5,5.5
Convolvulus.erubescens,Leaf.width,40,40
Convolvulus.erubescens,Max.height,0.28363636363636363,0.47
Convolvulus.erubescens,SLA,14.92218061625,17.586416976
Convolvulus.erubescens,Vegetative.height,0.297,0.48199999999999993
Convolvulus.erubescens,Vegetative.width,0.216,0.30299999999999994
Conyza.bonariensis,Leaf.length,9,9
Conyza.bonariensis,Leaf.width,15,15
Conyza.bonariensis,Max.height,0.53,1
Cotula.australis,Leaf.length,2,2
Cotula.australis,Leaf.width,10,10
Cotula.australis,Max.height,0.1,0.1
Crassula.sieberiana,Leaf.length,1,1
Crassula.sieberiana,Leaf.width,3,3
Crassula.sieberiana,Max.height,0.2,0.2
Crepis.capillaris,Leaf.length,25,25
Crepis.capillaris,Leaf.width,50,50
Crepis.capillaris,Max.height,0.75,0.75
Cymbonotus.preissianus,Leaf.length,30,30
