date,site,observer,quadrat,id,1_pc,1_9,2_pc,2_9,3_pc,3_9,4_pc,4_9,5_pc,5_9,6_pc,6_9,7_pc,7_9,8_pc,8_9,9_pc,9_9,10_pc,10_9
12/11/2011,s2,Group,1,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,3,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,4,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Don,1,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0
5/11/2011,s3,Group,4,3 fingered plant,0.00,0,0.00,0,1.00,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Don,1,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Group,3,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Andrew,4,3 fingered plant,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,1,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,3,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0
12/11/2011,s2,Group,4,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,5,0.00,0
5/11/2011,s3,Don,1,Aira caryophyllea,45.00,9,10.00,8,0.00,0,1.00,2,0.00,0,0.00,0,10.00,9,15.00,7,0.00,0,0.00,0
5/11/2011,s3,Don,1,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,6.00,5,1.00,1
5/11/2011,s3,Don,1,Aira elegantissima,0.00,0,3.00,6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,2,Aira caryophyllea,5.00,4,22.00,8,0.00,0,0.00,0,0.00,0,0.00,0,2.00,6,0.00,0,0.00,0,1.00,2
5/11/2011,s3,Group,2,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,2,0.00,0,6.00,9,0.00,0,0.00,0
5/11/2011,s3,Group,2,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,2,0.00,0
5/11/2011,s3,Group,4,Aira caryophyllea,0.00,0,2.00,4,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
5/11/2011,s3,Group,4,Aira cupaniana,0.00,0,0.00,0,0.00,0,35.00,9,0.00,0,0.00,0,15.00,5,7.00,9,0.00,0,1.00,1
5/11/2011,s3,Group,4,Aira elegantissima,0.00,0,2.00,3,0.00,0,2.00,6,0.00,0,0.00,0,2.00,3,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Don,1,Aira cupaniana,5.00,5,1.00,2,2.00,5,1.00,1,0.00,0,1.00,1,20.00,5,0.00,0,1.00,3,1.00,4
30/10/2011,s4,Don,1,Aira elegantissima,0.00,0,1.00,1,0.00,0,1.00,1,5.00,7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Robyn Whipp,2,Aira cupaniana,1.00,2,1.00,1,1.00,1,2.00,4,5.00,1,1.00,1,2.00,4,1.00,5,0.00,0,1.00,2
30/10/2011,s4,John Fitzgerald,3,Aira cupaniana,0.00,0,0.00,0,1.00,5,2.00,5,0.00,0,0.00,0,4.00,4,2.00,4,0.00,0,3.00,7
30/10/2011,s4,John Fitzgerald,3,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Group,4,Aira cupaniana,1.00,1,5.00,7,0.00,0,0.00,0,5.00,7,1.00,4,4.00,4,5.00,7,1.00,1,6.00,8
30/10/2011,s4,Group,4,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,Group,1,Aira cupaniana,5.00,9,1.00,1,0.00,0,5.00,5,0.00,0,4.00,2,1.00,6,10.00,5,0.00,0,0.00,0
13/11/2011,s5,"Nola, Penny",2,Aira cupaniana,25.00,9,0.00,0,0.00,0,0.00,4,0.00,0,0.00,0,10.00,6,0.00,0,9.00,8,0.00,0
13/11/2011,s5,Group,3,Aira cupaniana,4.00,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,10.00,9,0.00,0
6/11/2011,w3,Don,1,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Don,1,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,2,0.00,0,1.00,1,1.00,2
6/11/2011,w3,Group,3,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Group,3,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,1.00,1
6/11/2011,w3,Andrew,4,Aira cupaniana,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
6/11/2011,w3,Andrew,4,Aira elegantissima,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,1.00,2,1.00,2
2/11/2011,w4,Don,1,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,3.00,3,3.00,5,2.00,2,0.00,0,0.00,0,0.00,0
14/11/2011,w4,Group,2,Aira cupaniana,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,2.00,8,3.00,3,11.00,4,0.00,0,0.00,0
14/11/2011,w4,Group,4,Aira cupaniana,0.00,0,15.00,5,0.00,0,0.00,0,0.00,0,4.00,6,1.00,2,1.00,1,0.00,0,0.00,0
13/11/2011,w5,Don,1,Aira cupaniana,0.00,0,0.00,0,0.00,0,4.00,1,0.00,0,0.00,0,1.00,2,0.00,0,1.00,1,0.00,0
13/11/2011,w5,Pax,2,Aira cupaniana,2.00,4,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,4.00,6,0.00,0,0.00,0,1.00,1
13/11/2011,w5,John,3,Aira cupaniana,1.00,1,0.00,0,1.00,3,2.00,1,0.00,0,0.00,0,1.00,3,0.00,0,1.00,1,0.00,0
29/10/2011,s1,Don,1,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,s1,Don,2,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s1,Group,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,1,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,3,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
12/11/2011,s2,Group,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Don,1,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Robyn Whipp,2,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,John Fitzgerald,3,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
30/10/2011,s4,Group,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,1.00,2
13/11/2011,s5,Group,1,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,"Nola, Penny",2,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,s5,Group,3,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,w1,Felicity,2,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,w1,Don,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,w1,Group,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
29/10/2011,w1,Don,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
2/11/2011,w4,Don,1,Aira hairy ligule,0.00,0,0.00,0,8.00,7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
14/11/2011,w4,Group,2,Aira hairy ligule,0.00,0,0.00,0,1.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
14/11/2011,w4,Group,4,Aira hairy ligule,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
13/11/2011,w5,Don,1,Aira hairy ligule,1.00,1,0.00,0,5.00,3,0.00,0,0.00,0,2.00,4,0.00,0,2.00,3,0.00,0,0.00,0
