date,observer,site,plot,quadrat,id,1_pa,2_pa,3_pa,4_pa,5_pa,6_pa,7_pa,8_pa,9_pa,cover
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,AVEBAR,1,1,1,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,BRODIA,1,1,1,1,0,1,0,0,0,4
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,RUMACT,1,1,1,1,1,0,0,1,1,12
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,Spiky stem,1,0,0,1,0,0,1,0,0,5
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,AUSBIG,0,0,0,1,0,0,0,0,0,2
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,Hairy ligule,0,0,1,0,0,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,AUSSCA,0,0,1,1,0,0,0,0,1,3
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,PLALAN,0,0,0,0,0,0,0,0,1,1
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,Rock,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,1,Litter,0,0,0,0,0,0,0,0,0,70
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,AVEBAR,1,1,1,1,1,1,1,1,1,20
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,RUMACT,1,1,1,1,1,0,0,1,1,10
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,DEMVAR,0,1,1,0,0,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,OXALIS,1,0,0,1,0,1,1,1,1,5
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,AUSBIG,0,1,0,1,1,1,1,1,0,30
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,Spiky stem,0,1,0,0,0,1,0,0,0,4
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,AUSSCA,0,0,0,0,1,0,1,0,1,8
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,Rock,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,2,Litter,0,0,0,0,0,0,0,0,0,45
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,AVEBAR,1,1,1,1,1,1,1,1,1,20
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,RUMACT,1,1,1,1,1,1,1,1,1,12
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,BRODIA,1,0,1,1,0,0,0,1,1,3
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,Spiky stem,0,0,0,0,0,0,1,0,0,1
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,OXALIS,0,1,0,0,0,0,0,0,0,1
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,Rock,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,3,Litter,0,0,0,0,0,0,0,0,0,70
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,AVEBAR,1,1,1,1,1,1,1,0,1,8
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,RUMACT,1,1,1,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,OXALIS,0,1,1,0,1,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,AUSBIG,1,1,1,1,1,1,0,0,0,30
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,BRODIA,0,1,0,0,0,0,0,0,0,2
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,VULSP1,0,0,1,0,0,0,1,0,0,1
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,AUSSCA,0,0,0,0,0,0,1,1,1,10
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,HYPRAD,0,0,0,0,0,0,0,1,0,1
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,Rock,0,0,0,0,0,0,0,0,0,20
16/11/2015,Andrew O'Reilly-Nugent,S1,1,4,Litter,0,0,0,0,0,0,0,0,0,30
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,AVEBAR,1,1,1,1,1,1,1,1,1,20
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,Spiky stem,1,1,1,1,1,1,1,1,0,20
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,BRODIA,1,1,1,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,HYPRAD,0,0,0,1,0,1,0,0,1,5
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,RUMACT,0,0,1,0,1,1,1,1,1,5
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,PANEFF,1,1,0,0,1,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,Rock,0,0,0,0,0,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,2,1,Litter,0,0,0,0,0,0,0,0,0,50
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,AVEBAR,1,1,1,1,1,1,1,1,1,25
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,Spiky stem,1,1,0,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,RUMACT,1,1,1,1,1,0,1,0,0,10
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,BRODIA,1,1,1,1,1,1,1,1,1,8
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,Rock,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,2,Litter,0,0,0,0,0,0,0,0,0,65
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,AVEBAR,1,1,1,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,RUMACT,1,1,1,0,0,1,1,1,1,10
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,HYPRAD,1,0,0,1,0,0,1,0,0,8
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,BRODIA,0,1,1,1,1,1,1,1,1,6
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,AUSSCA,0,0,0,1,0,0,0,0,0,3
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,DEMVAR,1,0,0,0,0,0,0,0,0,2
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,Hairy ligule,0,0,0,0,1,0,0,0,0,5
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,Rock,0,0,0,0,0,0,0,0,0,5
16/11/2015,Andrew O'Reilly-Nugent,S1,2,3,Litter,0,0,0,0,0,0,0,0,0,60
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,AVEBAR,1,1,1,1,1,1,1,1,1,25
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,BRODIA,1,1,1,1,1,1,1,1,1,15
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,HYPRAD,0,0,0,0,0,0,0,1,0,4
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,RUMACT,1,0,0,0,0,0,0,0,1,2
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,Spiky stem,1,1,0,1,0,0,0,0,0,8
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,Bare ground,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,Rock,0,0,0,0,0,0,0,0,0,0
16/11/2015,Andrew O'Reilly-Nugent,S1,2,4,Litter,0,0,0,0,0,0,0,0,0,80
