date,observer,site,plot,quadrat,id,1_pa,2_pa,3_pa,4_pa,5_pa,6_pa,7_pa,8_pa,9_pa,cover,notes
2/11/2016,Pandora Holliday,S2,10,3,Tri sub,1,1,1,1,1,1,1,1,1,30,
2/11/2016,Pandora Holliday,S2,10,3,Redgrass,1,1,1,0,1,1,1,1,1,25,
2/11/2016,Pandora Holliday,S2,10,3,Plantain,1,1,0,1,0,1,1,0,1,15,
2/11/2016,Pandora Holliday,S2,10,3,Bro hor,1,1,1,1,1,1,0,1,1,20,
2/11/2016,Pandora Holliday,S2,10,3,Tri arv,1,1,1,1,1,1,1,1,1,15,
2/11/2016,Pandora Holliday,S2,10,3,Vuplia m,1,1,1,1,1,1,1,1,1,20,
2/11/2016,Pandora Holliday,S2,10,3,Smooth flatweed,1,1,1,1,1,0,0,0,0,5,
2/11/2016,Pandora Holliday,S2,10,3,Prickly lettuce,1,0,0,0,0,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,3,Tri dub,0,1,0,0,0,0,0,1,0,1,
2/11/2016,Pandora Holliday,S2,10,3,Skeleton weed,0,1,1,0,1,1,0,0,1,5,
2/11/2016,Pandora Holliday,S2,10,3,Micro laena,0,1,0,0,0,0,0,0,0,2,
2/11/2016,Pandora Holliday,S2,10,3,Lomandra,0,0,0,1,1,0,0,0,0,8,
2/11/2016,Pandora Holliday,S2,10,3,Hairy flatweed,0,0,0,0,1,0,1,1,1,15,
2/11/2016,Pandora Holliday,S2,10,3,Con rub,0,0,0,0,0,1,0,1,1,3,
2/11/2016,Pandora Holliday,S2,10,3,St Johns wort,0,0,0,0,0,1,1,0,0,1,
2/11/2016,Pandora Holliday,S2,10,3,Hounds tongue,0,0,0,0,0,1,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,3,Poa lab,0,0,0,0,0,0,1,0,0,1,
2/11/2016,Pandora Holliday,S2,10,3,Ferny cranesbill,0,0,0,0,0,0,0,0,1,1,
2/11/2016,Pandora Holliday,S2,10,3,Litter,0,0,0,0,0,0,0,0,0,40,
2/11/2016,Pandora Holliday,S2,10,4,Tri sub,1,1,1,1,1,1,1,1,1,20,
2/11/2016,Pandora Holliday,S2,10,4,Vulpia m,1,1,1,1,1,1,1,1,1,8,
2/11/2016,Pandora Holliday,S2,10,4,Bro hor,1,1,1,1,1,1,1,1,1,5,
2/11/2016,Pandora Holliday,S2,10,4,Tri arv,1,1,1,1,1,1,1,1,1,12,
2/11/2016,Pandora Holliday,S2,10,4,Plantain,1,1,1,1,1,1,0,0,0,12,
2/11/2016,Pandora Holliday,S2,10,4,Hairy flatweed,1,1,1,0,1,1,1,1,1,8,
2/11/2016,Pandora Holliday,S2,10,4,Tri scab,1,0,0,0,1,0,0,1,1,1,
2/11/2016,Pandora Holliday,S2,10,4,Skeleton weed,1,0,0,0,0,0,1,0,1,7,
2/11/2016,Pandora Holliday,S2,10,4,Redgrass,1,1,1,1,1,1,1,0,1,30,
2/11/2016,Pandora Holliday,S2,10,4,St Johns wort,0,1,0,0,1,0,0,0,0,1,
2/11/2016,Pandora Holliday,S2,10,4,Aus big,0,1,1,1,0,1,0,0,0,5,
