clade,order,family,genus,sp,species,introduced
Eudicots,Rosales,Rosaceae,Acaena,agnipila,Acaena.agnipila,0
Eudicots,Caryophyllales,Polygonaceae,Acetosella,vulgaris,Acetosella.vulgaris,1
Monocots,Poales,Poaceae,Aira,caryophyllea,Aira.caryophyllea,1
Monocots,Poales,Poaceae,Aira,cupaniana,Aira.cupaniana,1
Monocots,Poales,Poaceae,Aira,elegantissima,Aira.elegantissima,1
Monocots,Poales,Poaceae,Aira,NA,Aira.sp,1
Eudicots,Caryophyllales,Amaranthaceae,Alternanthera,pungens,Alternanthera.pungens,1
Eudicots,Ericales,Primulaceae,Anagallis,arvensis,Anagallis.arvensis,1
Monocots,Poales,Poaceae,Anthosachne,scabra,Anthosachne.scabra,0
Eudicots,Rosales,Rosaceae,Aphanes,australiana,Aphanes.australiana,0
Eudicots,Asterales,Asteraceae,Arctotheca,calendula,Arctotheca.calendula,1
Eudicots,Caryophyllales,Caryophyllaceae,Arenaria,serpyllifolia,Arenaria.leptoclados,1
Monocots,Poales,Poaceae,Aristida,ramosa,Aristida.ramosa,0
Monocots,Poales,Poaceae,Austrostipa,bigeniculata,Austrostipa.bigeniculata,0
Monocots,Poales,Poaceae,Austrostipa,scabra,Austrostipa.scabra,0
Monocots,Poales,Poaceae,Avena,barbata,Avena.fatua,1
Monocots,Poales,Poaceae,Bothriochloa,macra,Bothriochloa.macra,0
Eudicots,Asterales,Asteraceae,Brachyscome,rigidula,Brachyscome.rigidula,0
Monocots,Poales,Poaceae,Briza,minor,Briza.minor,1
Monocots,Poales,Poaceae,Bromus,catharticus,Bromus.catharticus,1
Monocots,Poales,Poaceae,Bromus,diandrus,Bromus.diandrus,1
Monocots,Poales,Poaceae,Bromus,hordeaceus,Bromus.hordeaceus,1
Monocots,Poales,Poaceae,Bromus,rubens,Bromus.rubens,1
Monocots,Poales,Poaceae,Bromus,NA,Bromus.sp,1
Monocots,Asparagales,Asphodelaceae,Bulbine,bulbosa,Bulbine.bulbosa,0
Eudicots,Asterales,Asteraceae,Carduus,nutans,Carduus.nutans,1
Monocots,Poales,Cyperaceae,Carex,inversa,Carex.inversa,0
Eudicots,Asterales,Asteraceae,Carthamus,lanatus,Carthamus.lanatus,1
Eudicots,Gentianales,Gentianaceae,Centaurium,erythraea,Centaurium.erythraea,1
Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,glomeratum,Cerastium.glomeratum,1
Pteridophyta,Polypodiales,Pteridaceae,Cheilanthes,austrotenuifolia,Cheilanthes.austrotenuifolia,0
Monocots,Poales,Poaceae,Chloris,truncata,Chloris.truncata,0
Eudicots,Asterales,Asteraceae,Chondrilla,juncea,Chondrilla.juncea,1
Eudicots,Gentianales,Gentianaceae,Cicendia,quadrangularis,Cicendia.quadrangularis,1
Eudicots,Asterales,Asteraceae,Cirsium,vulgare,Cirsium.vulgare,1
Eudicots,Solanales,Convolvulaceae,Convolvulus,erubescens,Convolvulus.erubescens,0
Eudicots,Asterales,Asteraceae,Erigeron,bonariensis,Conyza.bonariensis,1
Eudicots,Asterales,Asteraceae,Cotula,australis,Cotula.australis,0
Eudicots,Saxifragales,Crassulaceae,Crassula,sieberiana,Crassula.sieberiana,0
Eudicots,Asterales,Asteraceae,Crepis,capillaris,Crepis.capillaris,1
Eudicots,Asterales,Asteraceae,Cymbonotus,preissianus,Cymbonotus.preissianus,0
Monocots,Poales,Poaceae,Cynodon,dactylon,Cynodon.dactylon,0
