trait,species,mean,max
Leaf.length,Acaena.agnipila,1.6,1.6
Leaf.length,Acaena.anserovina,1.8,1.8
Leaf.length,Acaena.echinata,1.2,1.2
Leaf.length,Acetosella.vulgaris,7,7
Leaf.length,Aira.caryophyllea,0.6,0.6
Leaf.length,Aira.cupaniana,0.6,0.6
Leaf.length,Aira.elegantissima,0.3,0.3
Leaf.length,Aira.provincialis,1.1,1.1
Leaf.length,Alternanthera.angustifolia,2,2
Leaf.length,Alternanthera.denticulata,6,6
Leaf.length,Alternanthera.nana,2.5,2.5
Leaf.length,Alternanthera.nodiflora,8,8
Leaf.length,Alternanthera.philoxeroides,7,7
Leaf.length,Alternanthera.pungens,5,5
Leaf.length,Anagallis.arvensis,2.5,2.5
Leaf.length,Aphanes.arvensis,9,9
Leaf.length,Aphanes.australiana,1,1
Leaf.length,Aphanes.inexspectata,0.8,0.8
Leaf.length,Arctotheca.calendula,25,25
Leaf.length,Arctotheca.populifolia,6,6
Leaf.length,Arenaria.leptoclados,0.8,0.8
Leaf.length,Arenaria.serpyllifolia,0.5,0.5
Leaf.length,Aristida.echinata,12,12
Leaf.length,Bothriochloa.insculpta,0.3,0.3
Leaf.length,Brachyscome.abercrombiensis,8,8
Leaf.length,Brachyscome.aculeata,10,10
Leaf.length,Brachyscome.ascendens,40,40
Leaf.length,Brachyscome.barkerae,4.5,4.5
Leaf.length,Brachyscome.brownii,4,4
Leaf.length,Brachyscome.casstiana,11,11
Leaf.length,Brachyscome.chrysoglossa,11,11
Leaf.length,Brachyscome.ciliaris,6,6
Leaf.length,Brachyscome.curvicarpa,5,5
Leaf.length,Brachyscome.dalbyensis,2,2
Leaf.length,Brachyscome.debilis,2,2
Leaf.length,Brachyscome.decipiens,10,10
Leaf.length,Brachyscome.dentata,5,5
Leaf.length,Brachyscome.dissectifolia,6.5,6.5
Leaf.length,Brachyscome.diversifolia,9.5,9.5
Leaf.length,Brachyscome.eriogona,6,6
Leaf.length,Brachyscome.exilis,4,4
Leaf.length,Brachyscome.foliosa,3.8,3.8
